"depth","age","zone","As","Cu","Pb","Zn","Fe.Mn","Mo","K","Rb","Ti","C","C.N","d13C","d15N","SAR","stdev_As","stdev_Cu","stdev_Pb","stdev_Zn","stdev_Fe.Mn","stdev_Mo","stdev_K","stdev_Rb","stdev_Ti","stdev_C","stdev_C.N","stdev_d13C","stdev_d15N","stdev_SAR","n_As","n_Cu","n_Pb","n_Zn","n_Fe.Mn","n_Mo","n_K","n_Rb","n_Ti","n_C","n_C.N","n_d13C","n_d15N","n_SAR"
0.25,2014.602,"Zone 3",23,76,42,735,9.728697954,23,0.4254,1,0.1907,7.843333333,11.13666667,-29.80333333,3.61,270.0771214,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,0.165,0.103,0.045,13.85773586,1,1,1,1,1,1,1,1,1,3,3,3,3,3
0.75,2011.325,"Zone 3",24.33333333,107.6666667,83.5,708.3333333,24.84206694,23,0.436033333,1,0.1616,8.54,11.975,-29.735,3.1,216.605856,23.012,4.497,1.5,37.606,5.086,2.944,0.01,NA,0.007,0.08,0.095,0.125,0.05,NA,3,3,2,3,3,3,3,3,3,2,2,2,2,1
1.25,2008.047,"Zone 3",60,158,NA,770,12.4710303,35,0.5997,10.6,0.2142,8.84,11.58,-29.89,2.53,175.9212556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.170428104,1,1,0,1,1,1,1,1,1,1,1,1,1,3
1.75,2003.397,"Zone 3",60,169,NA,707,13.18568841,29,0.629,15.5,0.2253,8.94,11.56,-29.8,2.72,153.6845085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.673306931,1,1,0,1,1,1,1,1,1,1,1,1,1,3
2.5,1998.115,"Zone 3",43.4,161,NA,603,49.57953144,23.4,0.7365,19.6,0.2428,9.03,12.21,-29.7,2.4,142.9984651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.481556898,1,1,0,1,1,1,1,1,1,1,1,1,1,3
3.5,1981.834,"Zone 3",42,129,NA,529,53.4359385,20,0.7406,15,0.2457,8.63,12.36,-29.49,2.32,147.0773053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.10049088,1,1,0,1,1,1,1,1,1,1,1,1,1,3
4.5,1965.636,"Zone 2",40.26666667,88.66666667,NA,416,46.07325025,23.4,0.8431,16.967,0.283766667,7.785,13.2,-28.395,2.16,162.6782011,2.949,3.859,NA,219.3,12.787,5.384,0.041,0.309,0.013,0.015,0.05,0.035,0.03,15.70323805,3,3,0,3,3,3,3,3,3,2,2,2,2,3
5.5,1947.182,"Zone 2",35.2,65,NA,184,53.41713127,19.5,1.0397,19.5,0.3202,6.31,13.17,-27.77,1.72,124.1492893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.11163606,1,1,0,1,1,1,1,1,1,1,1,1,1,3
6.5,1922.261,"Zone 2",42.23333333,62.33333333,NA,362.6666667,57.90274381,39.667,1.0121,24.5,0.308866667,5.84,12.56,-27.64,2.03,149.5762164,4.188,9.534,NA,230.551,1.947,6.848,0.094,1.745,0.029,NA,NA,NA,NA,43.7685674,3,3,0,3,3,3,3,3,3,1,1,1,1,3
7.5,1896.005,"Zone 2",44.4,48,NA,165,60.22557726,36,0.7913,17.5,0.2735,6.73,12.13,-27.48,2.15,113.4786337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.72464654,1,1,0,1,1,1,1,1,1,1,1,1,1,3
8.5,1880.277755,"Zone 2",35.8,64,NA,155,57.56346256,24.1,1.032,22,0.3204,5.58,13.18,-27.51,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
9.5,1864.550242,"Zone 2",37.6,59.33333333,NA,191.6666667,47.14630059,31.833,1.026733333,23.6,0.326633333,6.155,13.61,-27.265,2.105,NA,1.806,4.497,NA,29.915,6.777,5.778,0.015,1.314,0.003,0.105,0.14,0.005,0.095,NA,3,3,0,3,3,3,3,3,3,2,2,2,2,0
10.5,1848.82273,"Zone 2",34,62,NA,229,57.11453362,15.3,0.8196,16.3,0.2764,7.34,12.975,-27.46,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.065,0.07,0.02,NA,1,1,0,1,1,1,1,1,1,2,2,2,2,0
11.5,1833.095218,"Zone 2",40.9,59,NA,198,55.86602317,36,0.7511,17.5,0.2827,8.37,12.46,-27.66,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
12.5,1817.367706,"Zone 2",39.4,44,NA,162,32.90265487,16,0.7212,9,0.2562,7.96,12.02,-27.71,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
13.5,1801.640194,"Zone 2",46.03333333,53.66666667,NA,617,60.30339847,48.667,0.785933333,20.367,0.266733333,6.89,12.36,-27.83,2.37,NA,2.073,4.497,NA,310.13,4.598,8.179,0.069,1.517,0.021,NA,NA,NA,NA,NA,3,3,0,3,3,3,3,3,3,1,1,1,1,0
14.5,1785.912682,"Zone 2",36.43333333,65.66666667,NA,284.3333333,58.0340174,28.133,1.0482,20,0.344466667,5.605,13.06,-27.615,2.295,NA,0.33,1.247,NA,111.263,3.888,2.451,0.059,1.186,0.014,0.065,0.06,0.005,0.095,NA,3,3,0,3,3,3,3,3,3,2,2,2,2,0
15.5,1770.18517,"Zone 2",38.7,64,NA,442,55.22763238,41,1.0586,22.4,0.3483,4.85,15,-27.2,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
16.5,1754.457658,"Zone 1",28.9,53,NA,109,33.2,15.2,1.1992,20.2,0.3975,4.4,18.08,-26.58,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
17.5,1738.730145,"Zone 1",26.8,55,NA,102,34.01302378,15.7,1.1337,19.9,0.373,5.28,17.84,-26.64,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
18.5,1723.002633,"Zone 1",25.2,49,NA,107,33.50668896,14.1,1.2189,21.5,0.3802,5.41,18.71,-26.72,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
19.5,1707.275121,"Zone 1",24.7,44,NA,104.3333333,35.85854342,10.833,1.197166667,20.767,0.3836,4.72,18.26,-26.745,1.795,NA,2.988,6.164,NA,16.049,3.712,2.762,0.066,2.886,0.012,0.11,0.02,0.215,0.095,NA,3,3,0,3,3,3,3,3,3,2,2,2,2,0
20.5,1691.547609,"Zone 1",26.4,49,NA,104,36.71494709,15.3,1.1665,21.3,0.3813,5.17,18.39,-26.97,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
21.5,1675.820097,"Zone 1",20.9,37,NA,89,31.37408638,10.2,1.1736,20.4,0.3848,5.01,20.47,-26.52,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
22.5,1660.092585,"Zone 1",23.2,47,NA,97,32.42931937,10.2,1.2451,21.3,0.4005,4.41,21.7,-26.45,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
23.5,1644.365073,"Zone 1",20.4,43,NA,91,29.61031332,10.1,1.1477,20.2,0.3992,5.15,24.06,-26.13,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
24.5,1628.637561,"Zone 1",20.63333333,41.33333333,NA,92.66666667,30.07811115,10.233,1.1192,18.633,0.3854,5.995,26.21,-26.01,0.9,NA,0.556,3.091,NA,8.38,0.841,1.161,0.037,0.806,0.015,0.285,0.24,0.03,0.11,NA,3,3,0,3,3,3,3,3,3,2,2,2,2,0
25.5,1612.910048,"Zone 1",22,42,NA,83,30.36908728,13.2,1.1233,17.5,0.3831,8,30.095,-26.15,0.185,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.51,1.015,0.13,0.035,NA,1,1,0,1,1,1,1,1,1,2,2,2,2,0
26.5,1597.182536,"Zone 1",22.1,40,NA,180,29.83169014,20.6,0.9801,18.2,0.3364,5.94,25.39,-26.43,0.31,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
27.5,1581.455024,"Zone 1",16.3,41,NA,68,29.9330254,6.8,1.1115,17.2,0.3675,2.81,21.89,-26.1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
28.5,1565.727512,"Zone 1",19.4,47,NA,73,30.80159305,8.4,1.1743,19.3,0.4124,3.49,24.07,-25.98,1.99,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,1,0
29.5,1550,"Zone 1",19.83333333,38.33333333,NA,77.66666667,28.62461397,11.533,1.1371,17.067,0.3761,3.59,23.525,-26.185,1.49,NA,1.58,3.859,NA,12.392,1.722,0.419,0.045,0.91,0.009,0.02,0.045,0.125,0.1,NA,3,3,0,3,3,3,3,3,3,2,2,2,2,0
